1-0-D-T _ _ _ _ _ _ 1-1-D-M 1-0-D-D _ _ 1-0-D-T 1-0-N-T 0-0-D-D 0-1-D-V _ _ _ 0-0-D-T _ 1-1-N-T 0-0-N-T _ _ _ _ 1-1-N-T 0-0-N-D
_ 1-0-D-T 1-1-N-M _ _ _ _ _ _ _ _ 1-0-N-T _ 1-1-D-M 0-1-N-M 0-0-N-D _ 1-1-D-D 0-1-N-T _ 1-0-N-T _ _ _ _ _ _ 0-1-D-V
_ 0-0-D-M _ _ _ _ 0-1-N-T 0-0-N-D _ 1-0-N-T _ _ 0-1-N-D 1-1-N-M 1-0-N-D 0-0-D-D _ 1-1-D-D 1-1-D-D _ 0-1-N-D _ _ _ 0-0-D-V 1-1-N-V 1-1-N-V 1-0-D-V
_ _ 1-1-N-T _ 1-0-N-D 0-1-N-V _ _ _ 1-0-D-M _ 1-0-N-T 0-0-D-V _ 0-1-D-T _ 0-1-N-T _ _ _ _ _ _ _ _ _ 0-0-D-V _
0-1-D-T 1-0-N-V 1-0-D-T 1-1-N-T _ _ _ _ _ 1-1-D-M _ _ 0-0-D-D _ 1-0-N-T 0-1-N-D 0-0-N-M _ _ _ 1-1-D-V _ 1-0-N-D 0-0-D-T _ 0-0-D-T 1-1-D-M _
0-1-N-V _ _ 1-0-N-D 1-0-D-M _ 0-1-N-M _ _ 0-1-D-M 0-1-N-D _ 0-1-N-D 0-0-N-D _ 0-0-N-D _ 0-1-N-D _ 0-0-N-D 0-0-D-D 0-1-D-V 0-1-D-D 0-1-D-M _ _ 1-1-D-D 1-1-D-T
1-1-N-V _ 1-1-D-T _ 0-1-N-T _ 1-1-D-T 0-0-D-T 1-1-N-V 0-1-D-M _ 0-0-D-V _ _ 1-1-D-V _ 1-0-N-V 1-1-N-D 0-1-N-V 1-1-N-M _ 0-0-D-V _ 0-1-N-T _ 1-0-D-M _ 1-0-D-V
1-0-D-M 1-0-D-D _ 1-0-N-T 0-0-N-V 1-1-D-D _ _ _ _ 1-0-D-M _ _ 0-0-N-D _ 0-1-D-D 0-0-D-D _ 1-1-N-M 1-1-N-D _ _ _ 0-0-D-V 0-0-D-M _ _ 1-1-D-T
1-1-D-D _ _ 0-1-N-V 0-1-N-M 1-1-D-V 0-1-D-M 0-0-D-D _ _ _ _ _ 0-1-N-V _ _ _ 1-1-N-V _ 1-0-N-T _ 0-0-N-D _ 0-0-D-T _ _ _ _
_ _ 0-1-D-V _ 0-0-D-V _ _ 1-0-N-M _ 0-0-D-T 0-0-N-D _ _ _ _ 0-1-N-T 1-0-N-D _ 0-1-N-M 1-1-N-V 1-0-N-T _ 1-1-D-D _ 0-1-D-V _ 1-0-N-V 1-0-N-M
_ _ 0-1-N-V 0-0-N-D 1-1-N-V _ _ 0-1-N-V _ 0-1-D-M 1-1-D-D _ 1-1-D-T 1-0-D-D _ _ _ _ 1-1-D-M _ _ 0-0-D-T _ 0-0-N-D _ 1-0-D-M _ _
